-2.15452,-14.7183,3.55248,1.60171,0.441379,-2.21981,-11.7195,3.55248,1.66471,0
-0.493551,-17.2094,3.55248,-1.18129,0.697886,-2.15452,-14.7183,3.55248,1.60171,0.441379
2.50377,-17.1325,3.55248,0.862046,0.819433,-0.493551,-17.2094,3.55248,-1.18129,0.697886
5.05331,-15.5586,3.55248,0.91181,0.876848,2.50377,-17.1325,3.55248,0.862046,0.819433
6.39211,-15.1728,3.55248,2.99601,0.91744,5.05331,-15.5586,3.55248,0.91181,0.876848
9.04923,-13.8397,3.55248,0.839668,0.934613,6.39211,-15.1728,3.55248,2.99601,0.91744
-1.4082,-8.83223,3.62418,-1.21734,0.550213,-2.21981,-11.7195,3.55248,1.66471,0
-1.95233,-5.88217,3.65612,2.70154,0.811543,-1.4082,-8.83223,3.62418,-1.21734,0.550213
1.37684,-7.72,3.70491,2.32034,0.812257,-1.4082,-8.83223,3.62418,-1.21734,0.550213
-4.88472,-15.961,3.51024,-1.0932,0.698425,-2.15452,-14.7183,3.55248,1.60171,0.441379
-1.08433,-3.01276,3.7706,1.86659,0.915761,-1.95233,-5.88217,3.65612,2.70154,0.811543
3.86539,-19.7667,4.0076,1.14141,0.877167,2.50377,-17.1325,3.55248,0.862046,0.819433
-7.68716,-17.0315,3.52799,-2.10566,0.821532,-4.88472,-15.961,3.51024,-1.0932,0.698425
0.311219,-0.360695,3.90834,1.03721,0.97455,-1.08433,-3.01276,3.7706,1.86659,0.915761
0.459441,2.63554,3.88422,2.30168,1.00217,0.311219,-0.360695,3.90834,1.03721,0.97455
